Category_ID,Visitors,Reg Customers,Purchasing Customers,Regd Purchasing Customers,Repeat customers,Sales,Valid Transactions,Packet Size
1,540,222,0,0,0,0,0,0
1,1113,844,618,457,137,506838,1038,488.283237
1,1147,762,552,442,212,389670,972,400.8950617
1,1205,925,660,634,361,331072,1294,255.8516229
1,664,293,0,0,0,0,0,0
1,1176,937,649,519,182,253954,848,299.4740566
1,1265,894,607,437,188,648063,689,940.5849057
1,1209,867,589,442,239,562134,1110,506.427027
1,1046,731,539,474,218,184632,1023,180.4809384
1,1220,841,559,464,200,399254,566,705.3957597
1,1096,794,569,427,209,534480,827,646.2877872
1,514,178,0,0,0,0,0,0
1,1051,741,545,382,164,351472,949,370.3603793
1,1084,690,464,362,181,394689,594,664.459596
1,1061,663,486,476,171,256768,914,280.9277899
1,992,701,477,415,203,315984,890,355.0382022
1,1070,698,479,469,178,410724,479,857.4613779
1,995,793,630,517,176,415368,1258,330.1812401
1,589,190,0,0,0,0,0,0
1,1074,753,653,477,262,485692,1104,439.9384058
1,1182,824,551,424,127,309060,748,413.1818182
1,1074,758,549,472,165,469886,679,692.0265096
1,1003,703,525,462,139,487282,807,603.819083
1,1063,856,587,558,273,402742,741,543.511471
1,1113,734,561,522,256,459146,574,799.9059233
1,309,108,0,0,0,0,0,0
1,1122,779,517,455,196,374504,694,539.6311239
1,1028,638,453,322,154,236346,456,518.3026316
1,943,607,491,491,167,386478,580,666.3413793
1,961,749,543,424,220,377567,569,663.5623902
1,1195,862,589,583,216,564190,889,634.6344207
1,1176,915,667,607,212,433944,1170,370.8923077
1,513,133,0,0,0,0,0,0
1,1069,866,638,619,297,309467,1226,252.4200653
1,1133,740,602,488,288,631560,979,645.1072523
1,1053,744,581,494,237,462852,980,472.2979592
1,1045,785,557,473,194,453362,779,581.9794608
1,1179,878,636,496,293,195860,1005,194.8855721
1,1269,889,620,601,259,245752,1133,216.9037952
1,360,141,0,0,0,0,0,0
1,1182,784,502,356,207,136458,706,193.2832861
1,873,632,481,423,207,408398,634,644.1608833
1,865,639,508,396,143,274650,987,278.2674772
1,1087,727,517,408,212,112778,686,164.3994169
1,976,737,591,532,287,204468,840,243.4142857
1,1177,787,655,629,264,604670,1144,528.5576923
1,446,167,0,0,0,0,0,0
1,1024,711,606,497,169,323580,663,488.0542986
1,1104,830,556,389,202,335946,1109,302.9269612
1,1096,830,547,536,225,483630,622,777.5401929
1,1087,712,559,442,163,173394,560,309.6321429
1,965,728,550,506,197,458519,1081,424.1618871
1,1129,847,623,567,278,173520,1054,164.629981
